Latitude,Longitude,Street address,Zip,Unit,Asset,Transit_Spd,Range
27.463632,-80.307156,900 Seaway Drive,34949,Station Fort Pierce,45-RMB,30,250
26.789002,-80.052085,3300 Lake Shore Drive,33404,Station Lake Worth Inlet,29ft,30,150
26.089397,-80.111956,7000 N. Ocean Dr,33004,Station Fort Lauderdale,45-RMB,30,250
25.771144,-80.145083,100 MacArthur Causeway,33139,Station Miami Beach,45-RMB,30,250
27.762151,-82.630973,600 8th Avenue SE,33701,Station St. Petersburg,45-RMB,30,250
26.459097,-81.954161,719 San Carlos Drive,33931,Station Ft. Myers Beach,45-RMB,30,250
24.95473,-80.58472,183 Palermo Drive,33036,Station Islamorada,29ft,30,150
28.415708,-80.621368,9235 Grouper Road,32920,Station Port Canaveral,45-RMB,30,250
27.947595,-82.833278,1375 Gulf Boulevard,33767,Station San Key,45-RMB,30,250
30.168225,-85.753977,1700 Thomas Drive,32407,Station Panama City,45-RMB,30,250
30.254867,-88.1349,251 Aquarium Drive,36528,Station Dauphin Island,29ft,30,150
29.031665,-82.711908,5800 Riverside Drive,34498,Station Yankeetown,27ft,30,150
30.291076,-81.404859,1320 4th Ave N,32250,Station Mayport,45-RMB,30,250
